,Store,Date,Weekly_Sales
0,1,2012-11-02,22276.947
1,1,2012-11-09,44476.63
2,1,2012-11-16,9481.232
3,1,2012-11-23,37396.098
4,1,2012-11-30,29732.475
5,1,2012-12-07,4085.2734
6,1,2012-12-14,24878.572
7,1,2012-12-21,36145.16
8,1,2012-12-28,30208.486
9,1,2013-01-04,29380.465
10,1,2013-01-11,25880.025
11,1,2013-01-18,10012.123
12,1,2013-01-25,39220.547
13,1,2013-02-01,13374.969
14,1,2013-02-08,5066.15
15,1,2013-02-15,8834.4795
16,1,2013-02-22,17483.576
17,1,2013-03-01,1623.2032
18,1,2013-03-08,3171.018
19,1,2013-03-15,7209.3115
20,1,2013-03-22,7747.3374
21,1,2013-03-29,21947.525
22,1,2013-04-05,6715.0527
23,1,2013-04-12,10486.439
24,1,2013-04-19,8030.7793
25,1,2013-04-26,1622.5219
26,1,2013-05-03,872.58124
27,1,2013-05-10,4785.614
28,1,2013-05-17,2631.5947
29,1,2013-05-24,2207.457
30,1,2013-05-31,6546.1377
31,1,2013-06-07,6431.161
32,1,2013-06-14,10546.863
33,1,2013-06-21,2329.2488
34,1,2013-06-28,1600.6956
35,1,2013-07-05,2702.966
36,1,2013-07-12,90292.26
37,1,2013-07-19,58897.453
38,1,2013-07-26,1342.0408
39,1,2012-11-02,7624.236
40,1,2012-11-09,5109.1074
41,1,2012-11-16,18521.584
42,1,2012-11-23,886.35
43,1,2012-11-30,10008.247
44,1,2012-12-07,2971.5706
45,1,2012-12-14,20499.305
46,1,2012-12-21,751.4165
47,1,2012-12-28,2416.5461
48,1,2013-01-04,1481.9779
49,1,2013-01-11,1199.213
50,1,2013-01-18,5683.483
51,1,2013-01-25,2170.7034
52,1,2013-02-01,43118.516
53,1,2013-02-08,10034.694
54,1,2013-02-15,37369.785
55,1,2013-02-22,16103.874
56,1,2013-03-01,28174.154
57,1,2013-03-08,22137.354
58,1,2013-03-15,4358.8906
59,1,2013-03-22,3847.104
60,1,2013-03-29,43986.42
61,1,2013-04-05,79423.88
62,1,2013-04-12,59655.926
63,1,2013-04-19,131628.38
